"FIPS","Name of Area","Qualifying Name","Nation","State","County","Census Tract","Total Population","Not Hispanic or Latino","Not Hispanic or Latino: White Alone","Not Hispanic or Latino: Black or African American Alone","Not Hispanic or Latino: American Indian and Alaska Native Alone","Not Hispanic or Latino: Asian Alone","Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Not Hispanic or Latino: Some Other Race Alone","Not Hispanic or Latino: Two or More Races","Hispanic or Latino","Hispanic or Latino: White Alone","Hispanic or Latino: Black or African American Alone","Hispanic or Latino: American Indian and Alaska Native Alone","Hispanic or Latino: Asian Alone","Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Hispanic or Latino: Some Other Race Alone","Hispanic or Latino: Two or More Races","Population 25 Years and over","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate (Includes Equivalency)","Population 25 Years and Over: Some College","Population 25 Years and Over: Bachelor's Degree","Population 25 Years and Over: Master's Degree","Population 25 Years and Over: Professional School Degree","Population 25 Years and Over: Doctorate Degree","Median Household Income in 2018 Dollars [Dollars adjusted for inflation to match value in 2018]","Owner-Occupied Housing Units: Median Value [Dollars adjusted for inflation to match value in 2018]"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T015_006,SE_T015_007,SE_T015_008,SE_T015_009,SE_T015_010,SE_T015_011,SE_T015_012,SE_T015_013,SE_T015_014,SE_T015_015,SE_T015_016,SE_T015_017,SE_T038_001,SE_T038_002,SE_T038_003,SE_T038_004,SE_T038_005,SE_T038_006,SE_T038_007,SE_T038_008,SE_T091_001,RC2000SF3_RC2000SF3_025_H085001
"11001009201","Census Tract 92.01","Census Tract 92.01, District of Columbia, District of Columbia","00","11","001","009201",1334,1252,211,1007,0,6,0,0,28,82,11,0,0,0,0,71,0,777,291,180,186,71,33,16,0,45760.8601798855,153973.665480427
"11001009203","Census Tract 92.03","Census Tract 92.03, District of Columbia, District of Columbia","00","11","001","009203",2813,2649,58,2536,37,0,0,0,18,164,20,17,0,0,0,53,74,1981,666,585,468,140,71,30,21,47501.0065412919,154704.784499802
"11001009204","Census Tract 92.04","Census Tract 92.04, District of Columbia, District of Columbia","00","11","001","009204",2417,2360,80,2280,0,0,0,0,0,57,40,17,0,0,0,0,0,1554,480,556,412,74,15,5,12,33356.0809484873,163331.98892843
"11001009301","Census Tract 93.01","Census Tract 93.01, District of Columbia, District of Columbia","00","11","001","009301",3197,2987,614,2175,45,60,0,25,68,210,22,55,6,0,0,116,11,2232,374,565,511,404,250,92,36,77293.6426819297,209246.263345196
"11001009302","Census Tract 93.02","Census Tract 93.02, District of Columbia, District of Columbia","00","11","001","009302",1309,1307,15,1292,0,0,0,0,0,2,0,2,0,0,0,0,0,940,280,285,218,86,54,8,9,63308.9738348324,188190.035587189
"11001009400","Census Tract 94","Census Tract 94, District of Columbia, District of Columbia","00","11","001","009400",4166,3999,96,3730,20,27,24,19,83,167,26,26,0,0,0,99,16,3081,662,526,866,440,392,125,70,80971.9885527392,222406.40569395
"11001009501","Census Tract 95.01","Census Tract 95.01, District of Columbia, District of Columbia","00","11","001","009501",5264,5068,1762,2983,40,161,0,25,97,196,73,6,0,0,10,107,0,2610,534,675,695,390,244,44,28,43246.6434995912,173421.431395809
"11001009503","Census Tract 95.03","Census Tract 95.03, District of Columbia, District of Columbia","00","11","001","009503",3066,3020,324,2648,5,0,0,0,43,46,46,0,0,0,0,0,0,2335,208,499,648,423,463,79,15,93231.6295993459,233811.862396204
"11001009504","Census Tract 95.04","Census Tract 95.04, District of Columbia, District of Columbia","00","11","001","009504",3570,3392,550,2717,0,28,0,0,97,178,99,19,0,0,0,51,9,2506,550,531,676,437,241,40,31,65328.8135731807,206175.56346382
"11001009505","Census Tract 95.05","Census Tract 95.05, District of Columbia, District of Columbia","00","11","001","009505",2454,2424,88,2254,0,12,0,0,70,30,24,0,0,0,0,0,6,2050,353,640,533,330,146,14,34,69580.1529026983,185411.783313563
"11001009507","Census Tract 95.07","Census Tract 95.07, District of Columbia, District of Columbia","00","11","001","009507",1574,1574,32,1434,0,0,67,25,16,0,0,0,0,0,0,0,0,1189,209,260,447,150,95,28,0,62528.8560915781,180147.726374061
